TimeSt,City,Country,Latitude,Longitude,Province,_ID,distance,label
2017-06-21 00:00:23.653,Burlington,CA,43.38890,-79.76820,ON,5373332,43.01552012241692,POI3
2017-06-21 00:15:18.183,Barrie,CA,44.40150,-79.67820,ON,4750350,38.613384431617064,POI3
2017-06-21 00:46:37.513,Moncton,CA,46.11830,-64.73380,NB,5185275,3.0515027879410104,POI4
2017-06-21 01:02:06.820,Toronto,CA,43.64770,-79.41740,ON,5390977,37.75021099041701,POI3
2017-06-21 01:12:14.560,Red Deer,CA,52.26510,-113.79400,AB,4708400,1.7361605852450024,POI1
2017-06-21 01:20:57.107,Edmonton,CA,53.45790,-113.41200,AB,4822992,0.013227766044997237,POI1
2017-06-21 01:27:18.623,Davidson,CA,51.26670,-105.96670,SK,4898729,61.73184209724485,POI1
2017-06-21 02:14:46.340,Calgary,CA,50.88370,-114.03260,AB,5514976,7.387792948045006,POI1
2017-06-21 02:57:11.947,Thornhill,CA,43.83950,-79.38310,ON,5332200,36.667931162416984,POI3
2017-06-21 03:01:39.940,Edmonton,CA,53.41040,-113.51700,AB,5388509,0.019410241044998562,POI1
2017-06-21 03:06:44.650,Ottawa,CA,45.40190,-75.75130,ON,4637946,4.789766229617008,POI3
2017-06-21 03:41:12.467,Toronto,CA,43.66660,-79.38230,ON,5101153,37.270199099017006,POI3
2017-06-21 03:48:36.440,Edmonton,CA,53.57745,-113.54698,AB,5211080,0.004729698605001499,POI1
2017-06-21 04:03:00.353,Saint-Laurent,CA,45.50387,-73.68473,QC,4588389,0.014406496517000664,POI3
2017-06-21 04:03:00.680,Gatineau,CA,45.50670,-75.62920,QC,4587879,4.256918082016994,POI3
2017-06-21 04:14:47.190,Moncton,CA,46.11830,-64.73380,NB,5515819,3.0515027879410104,POI4
2017-06-21 04:32:45.007,Calgary,CA,51.11881,-113.94710,AB,4977364,6.10492059140498,POI1
2017-06-21 05:05:41.590,Toronto,CA,43.72640,-79.39780,ON,4620552,37.232458476617055,POI3
2017-06-21 05:22:24.313,Saskatoon,CA,52.11600,-106.66900,SK,5608685,48.51324007464495,POI1
2017-06-21 05:43:23.497,Sydney,CA,46.11490,-60.20269,NS,5135327,9.973360946421016,POI4
2017-06-21 05:47:11.763,Niagara Falls,CA,43.08839,-79.14230,ON,5191839,37.01550605929708,POI3
